Name,Cost
Arkansas,8508
Alabama,5876
Arizona,6742
California,7016
Colorado,7395
Connecticut,7868
District of Columbia,5695
Delaware,8279
Florida,7827
Georgia,7812
Hawaii,4664
Iowa,6646
Idaho,6197
Illinois,6516
Indiana,7562
Kansas,7001
Kentucky,7136
Louisiana,7251
Massachusetts,6796
Maryland,7481
Maine,7639
Michigan,5453
Minnesota,7463
Missouri,7127
Mississippi,7327
Montana,7005
North Carolina,8015
North Dakota,6511
Nebraska,7897
New Hampshire,8289
New Jersey,7002
New Mexico,6652
Nevada,7116
New York,7393
Ohio,6563
Oklahoma,7826
Oregon,6769
Pennsylvania,7134
Rhode Island,7486
South Carolina,7137
South Dakota,8286
Tennessee,7900
Texas,8239
Utah,7320
Virginia,8104
Vermont,7264
Washington,6258
Wisconsin,7379
West Virginia,6053
Wyoming,6804
Alaska,8058
